"vessel_class_gfw","flag_gfw","Summed_Fishing_Hours","bpfh","mpfh","tmpfh","tmpfh.low","tmpfh.high","tot_b","tot_m","tot_tm","tot_tm_low","tot_tm_high"
"longline","ESP",63293.48,0.000563212,0,0.00014458,0.00012391,0.000168964,35.64764745776,0,9.1509713384,7.8426951068,10.69431955472
"longline","FJI",162901.03,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,562.50491293841,137.31286200966,166.0189557142,145.3647341205,190.37787253216
"longline","FSM",38449.08,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,132.76648034676,32.40957541176,39.1849953912,34.310036538,44.93436322176
"longline","GEO",399.24,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.37859448428,0.33652817928,0.4068814536,0.356261814,0.46658060928
"longline","GIB",120.6,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.4164374682,0.1016563932,0.122908284,0.10761741,0.1409418432
"longline","GRC",1822.17,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,6.29203865199,1.53594718074,1.8570463338,1.6260133995,2.12951905824
"longline","HKG",68.99,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.23822571253,0.05815318878,0.0703104686,0.0615632265,0.08062668128
"longline","HRV",137.47,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.47469037109,0.11587648734,0.1401011758,0.1226713545,0.16065733984
"longline","IDN",106.47,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.36764591409,0.08974590534,0.1085078358,0.0950085045,0.12442850784
"longline","IND",700.69,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,2.41951550243,0.59062701618,0.7141012066,0.6252607215,0.81887678368
"longline","IRN",45.39,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.15673380333,0.03826022958,0.0462587646,0.0405037665,0.05304602208
"longline","JOR",92.3,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.3187162381,0.0778017006,0.094066622,0.082363905,0.1078684256
"longline","JPN",780863.9,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,2696.3597473033,658.2073603158,795.809635046,696.803901165,912.5737757408
"longline","KHM",57.53,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.19865379391,0.04849330266,0.0586311242,0.0513368955,0.06723370016
"longline","KIR",6228.41,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,21.50699246527,5.25006381402,6.3476217674,5.5579216635,7.27896837152
"longline","KOR",637158.28,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,2200.13748727916,537.07473169416,649.3534894792,568.568191158,744.62904140416
"longline","KWT",426.15,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.47151597905,0.3592112103,0.434306511,0.3802749525,0.4980295728
"longline","LKA",56.27,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.19430295469,0.04743122094,0.0573470078,0.0502125345,0.06576117344
"longline","MDV",2249.6,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,7.7679745312,1.8962373312,2.292657344,2.00743056,2.6290445312
"longline","MEX",474.32,0.001519255,0.005469318,0.00084577,0.00079001,0.000911553,0.7206130316,2.59420691376,0.4011656264,0.3747175432,0.43236781896
"longline","MHL",13997.91,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,48.33544113177,11.79914629302,14.2658299974,12.4910349885,16.35896547552
"longline","MMR",140.86,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.48639620042,0.11873399292,0.1435560604,0.125696421,0.16461913792
"longline","MYS",401.42,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.38612212674,0.33836574924,0.4091031788,0.358207137,0.46912831424
"longline","NCL",41919.86,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,144.75124681342,35.33517223092,42.7222061204,37.407187071,48.99056662592
"longline","NER",1088.79,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,3.75964304313,0.91776504438,1.1096294406,0.9715817565,1.27243838688
"longline","NLD",61.69,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.21301846943,0.05199985818,0.0628707466,0.0550490715,0.07209537568
"longline","NZL",23656.06,5.34e-07,1.92e-06,2.97e-07,2.78e-07,3.2e-07,0.01263233604,0.0454196352,0.00702584982,0.00657638468,0.0075699392
"longline","PAN",4661.38,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,16.09596422486,3.92917975236,4.7505988132,4.159582443,5.44762428736
"longline","PHL",456.02,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.57465849294,0.38438929044,0.4647482228,0.406929447,0.53293780544
"longline","PLW",315.76,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1.09033412072,0.26616105072,0.3218036464,0.281768436,0.36901987072
"longline","POL",24.96,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.08618805312,0.02103933312,0.0254377344,0.022273056,0.02917005312
"longline","PYF",3767.97,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,13.01097750459,3.17610480834,3.8400889458,3.3623480295,4.40352103584
"longline","RUS",230875.92,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,797.22540292824,194.61039223824,235.2948851088,206.022127212,269.81822317824
"longline","SGP",2216.29,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,7.65295353563,1.86815959938,2.2587097906,1.9777063815,2.59011606688
"longline","SHN",710.86,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,2.45463299042,0.59919953292,0.7244658604,0.634335921,0.83076217792
"longline","STP",40.93,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.14133321371,0.03450079746,0.0417134002,0.0365238855,0.04783374496
"longline","SYC",46.99,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.16225867853,0.03960890478,0.0478893886,0.0419315265,0.05491589728
"longline","THA",3922.23,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,13.54364453481,3.30613395606,3.9973014822,3.5000019405,4.58380037856
"longline","TUV",824.25,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,2.84617398975,0.6947784585,0.840026145,0.7355194875,0.963277896
"longline","TWN",1380974.08,0.00203022,1.27e-05,0.00132411,0.0012496,0.001412018,2803.6811966976,17.538370816,1828.5615890688,1725.665210368,1949.96025849344
"longline","UKR",4747.73,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,16.39413483331,4.00196606706,4.8386015522,4.2366368655,5.54853911456
"longline","USA",454284.03,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,1568.66410693941,382.92600313566,462.9790263342,405.3803541705,530.90902590816
"longline","VUT",218911.77,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,755.91263066319,184.52554699194,223.1017412778,195.3459179595,255.83605606944
"longline","WSM",138.88,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,0.47955916736,0.11706500736,0.1415381632,0.123929568,0.16230516736
"longline","ZAF",1459.87,0.003453047,0.000842922,0.00101914,0.00089235,0.001168672,5.04099972389,1.23055654014,1.4878119118,1.3027149945,1.70610919264
